Season,Week,Name,Fan_Vote_Mean,Fan_Vote_Std,Judge_Score,Result,Method,Judge_Save_Rule,results
1,1,John O'Hurley,0.164532662195335,0.147670756222061,145.0,Safe,rank,False,2nd Place
1,1,Kelly Monaco,0.171024761186704,0.148266122663357,128.0,Safe,rank,False,1st Place
1,1,Evander Holyfield,0.163555815951682,0.144640372883215,45.0,Safe,rank,False,Eliminated Week 3
1,1,Rachel Hunter,0.169671983791287,0.152135793414845,95.0,Safe,rank,False,Eliminated Week 4
1,1,Joey McIntyre,0.165905901866475,0.147484608507988,105.5,Safe,rank,False,3rd Place
1,1,Trista Sutter,0.165308875008513,0.147930213447815,37.0,Safe,rank,False,Eliminated Week 2
1,2,John O'Hurley,0.127053066562699,0.134794862845294,145.0,Safe,rank,False,2nd Place
1,2,Kelly Monaco,0.21935999140096,0.151137872831592,128.0,Safe,rank,False,1st Place
1,2,Evander Holyfield,0.298295057813951,0.146487488524497,45.0,Safe,rank,False,Eliminated Week 3
1,2,Rachel Hunter,0.154608701351073,0.145486874282411,95.0,Safe,rank,False,Eliminated Week 4
1,2,Joey McIntyre,0.179434286231347,0.160568731061398,105.5,Safe,rank,False,3rd Place
1,2,Trista Sutter,0.021248896639969,0.0283514949494386,37.0,Eliminated,rank,False,Eliminated Week 2
1,3,John O'Hurley,0.137979220674634,0.131699351182565,145.0,Safe,rank,False,2nd Place
1,3,Kelly Monaco,0.367719063953082,0.159063620956941,128.0,Safe,rank,False,1st Place
1,3,Evander Holyfield,0.163826001346255,0.0696310061566003,45.0,Eliminated,rank,False,Eliminated Week 3
1,3,Rachel Hunter,0.15404636652711,0.154630777408421,95.0,Safe,rank,False,Eliminated Week 4
1,3,Joey McIntyre,0.176429347498917,0.172310287376638,105.5,Safe,rank,False,3rd Place
1,4,John O'Hurley,0.421880278685155,0.153597781528072,145.0,Safe,rank,False,2nd Place
1,4,Kelly Monaco,0.198060364960005,0.0698607767516992,128.0,Safe,rank,False,1st Place
1,4,Rachel Hunter,0.0486308605387052,0.0445865240378685,95.0,Eliminated,rank,False,Eliminated Week 4
1,4,Joey McIntyre,0.33142849581614,0.132487012116728,105.5,Safe,rank,False,3rd Place
1,5,John O'Hurley,0.445746386153217,0.169523646324201,145.0,Safe,rank,False,2nd Place
1,5,Kelly Monaco,0.206812375627178,0.0924118019485241,128.0,Safe,rank,False,1st Place
1,5,Joey McIntyre,0.347441238219605,0.146619890871836,105.5,Safe,rank,False,3rd Place
1,6,John O'Hurley,0.669236833056356,0.164260596860946,145.0,Safe,rank,False,2nd Place
1,6,Kelly Monaco,0.330763166943642,0.164260596860946,128.0,Safe,rank,False,1st Place
2,1,Tatum O'Neal,0.0954037015502191,0.0929276313962732,40.0,Safe,rank,False,Eliminated Week 2
2,1,Tia Carrere,0.0977972985263494,0.0987094258921278,115.0,Safe,rank,False,Eliminated Week 5
2,1,George Hamilton,0.123737472340481,0.0951178329455418,130.0,Safe,rank,False,Eliminated Week 6
2,1,Lisa Rinna,0.116335143385664,0.104441546400558,168.5,Safe,rank,False,Eliminated Week 7
2,1,Stacy Keibler,0.0995404705556087,0.0981309614635901,220.16649999999998,Safe,rank,False,3rd Place
2,1,Jerry Rice,0.101814942861773,0.0973904300671698,180.16660000000002,Safe,rank,False,2nd Place
2,1,Giselle Fernandez,0.109935104241418,0.101825105940836,69.0,Safe,rank,False,Eliminated Week 3
2,1,Master P,0.13444523542817,0.0976410043869615,50.0,Safe,rank,False,Eliminated Week 4
2,1,Drew Lachey,0.103769926487638,0.095435231596913,219.4998,Safe,rank,False,1st Place
2,1,Kenny Mayne,0.0172207046226749,0.0185443469386862,13.0,Eliminated,rank,False,Eliminated Week 1
2,2,Tatum O'Neal,0.0270808180959374,0.0306600010255322,40.0,Eliminated,rank,False,Eliminated Week 2
2,2,Tia Carrere,0.111577493617842,0.102768255041379,115.0,Safe,rank,False,Eliminated Week 5
2,2,George Hamilton,0.135651492791753,0.107718515577501,130.0,Safe,rank,False,Eliminated Week 6
2,2,Lisa Rinna,0.139689622092499,0.117690398904649,168.5,Safe,rank,False,Eliminated Week 7
2,2,Stacy Keibler,0.109086080732705,0.115294442641886,220.16649999999998,Safe,rank,False,3rd Place
